id	file	reason	approved_by	date
BG-1001	src/app/iggy3d/product/Automation.cpp	control-file parser extraction for dungeon draft and automation readers	codex	2026-06-26
BG-1002	src/app/iggy3d/product/Automation.cpp	common automation execution context extraction from AppShell	codex	2026-06-26
BG-1003	src/app/iggy3d/AppShell.cpp	common automation execution delegation seam	codex	2026-06-26
BG-1004	src/app/iggy3d/product/Automation.cpp	world setup and ASCII automation execution extraction from AppShell	codex	2026-06-26
BG-1005	src/app/iggy3d/AppShell.cpp	world setup automation execution delegation seam	codex	2026-06-26
BG-1006	src/app/iggy3d/product/AutomationRoomEditing.cpp	room editing automation execution extraction from AppShell	codex	2026-06-26
BG-1007	src/app/iggy3d/AppShell.cpp	room editing automation execution delegation seam	codex	2026-06-26
BG-1008	src/app/iggy3d/product/AutomationSaveBrowser.cpp	save browser automation execution extraction from AppShell	codex	2026-06-26
BG-1009	src/app/iggy3d/AppShell.cpp	save browser automation execution delegation seam	codex	2026-06-26
BG-1010	src/app/iggy3d/product/AutomationGameplay.cpp	gameplay automation execution extraction from AppShell	codex	2026-06-26
BG-1011	src/app/iggy3d/AppShell.cpp	gameplay automation execution delegation seam	codex	2026-06-26
BG-1012	src/app/iggy3d/product/AutomationSystem.cpp	system and navigation automation execution extraction from AppShell	codex	2026-06-26
BG-1013	src/app/iggy3d/AppShell.cpp	system and navigation automation execution delegation seam	codex	2026-06-26
BG-1014	src/app/iggy3d/product/AutomationControl.cpp	automation control-file runner extraction from AppShell	codex	2026-06-26
BG-1015	src/app/iggy3d/product/AutomationDispatch.cpp	automation command dispatcher extraction from AppShell	codex	2026-06-26
BG-1016	src/app/iggy3d/AppShell.cpp	automation dispatcher callback adapter seam	codex	2026-06-26
BG-1017	src/app/iggy3d/product/ProductMenuActionHandlers.cpp	pause menu action handler extraction from AppShell	codex	2026-06-26
BG-1018	src/app/iggy3d/product/ProductMenuActionHandlers.cpp	dev tools menu action handler extraction from AppShell	codex	2026-06-26
BG-1019	src/app/iggy3d/product/ProductMenuActionHandlers.cpp	settings menu action handler extraction from AppShell	codex	2026-06-26
BG-1020	src/app/iggy3d/product/ProductMenuActionHandlers.cpp	save browser menu action handler extraction from AppShell	codex	2026-06-26
BG-1021	src/app/iggy3d/product/ProductMenuActionHandlers.cpp	new world menu action handler extraction from AppShell	codex	2026-06-26
BG-1022	src/app/iggy3d/product/ProductMenuActionHandlers.cpp	starter menu action handler extraction from AppShell	codex	2026-06-26
BG-1023	src/app/iggy3d/product/ProductMenuActionHandlers.cpp	system pause menu action handler extraction from AppShell	codex	2026-06-26
BG-1024	src/app/iggy3d/product/ProductMenuInputRouter.cpp	opening menu input router extraction from AppShell	codex	2026-06-26
BG-1025	src/app/iggy3d/ProductGameplayProjectionRefresh.cpp	gameplay projection refresh extraction from AppShell	codex	2026-06-26
BG-1026	src/app/iggy3d/AppShell.cpp	package override new-world draft selection repair	codex	2026-06-26
BG-1027	src/app/iggy3d/ProductGameplayProjectionRefresh.cpp	live gameplay projection frame assembly extraction from AppShell	codex	2026-06-26
BG-1028	src/app/iggy3d/ProductWindowRendererLifecycle.cpp	product window renderer lifecycle extraction from AppShell	codex	2026-06-26
BG-1029	src/app/iggy3d/ProductWindowInputFrame.cpp	product window input frame processing extraction from AppShell	codex	2026-06-26
BG-1030	src/app/iggy3d/ProductWindowFramePresenter.cpp	product window frame presenter extraction from AppShell	codex	2026-06-26
BG-1031	src/app/iggy3d/ProductWindowLoop.cpp	product window loop extraction from AppShell	codex	2026-06-26
BG-1032	src/app/iggy3d/ProductGameplayTapeRunner.cpp	gameplay tape option flow extraction from AppShell	codex	2026-06-26
BG-1033	src/app/iggy3d/product/AutomationDispatch.cpp	automation app adapter extraction from AppShell	codex	2026-06-26
BG-1034	src/app/iggy3d/ProductRoomEditorHud.cpp	room editor HUD visibility and wall-tool proof	codex	2026-06-26
BG-1035	src/app/iggy3d/OpeningMenuView.cpp	room editor HUD compact SDL drawing	codex	2026-06-26
BG-1036	src/app/iggy3d/ProductRoomEditorActionController.cpp	room editor live delete undo redo input policy	codex	2026-06-26
BG-1037	src/app/input/KeyboardInput.cpp	room editor keyboard action mapping table	codex	2026-06-26
BG-1038	src/app/iggy3d/ProductRoomVisualProof.cpp	headless room visual proof raster artifact generation	codex	2026-06-26
BG-1039	src/app/input/KeyboardInput.cpp	new world draft keyboard glyph recorder parity proof	codex	2026-06-26
BG-1040	src/app/iggy3d/ProductRoomEditorActionController.cpp	room editor direct floor wall tool input policy	codex	2026-06-26
BG-1041	src/app/iggy3d/ProductRoomEditorActionController.cpp	room editor wall direction rotate input policy	codex	2026-06-26
BG-1042	src/app/iggy3d/ProductRoomEditorCursor.cpp	room editor wall direction clockwise cycle table	codex	2026-06-26
BG-1043	src/app/iggy3d/ProductRoomEditorCursor.cpp	pure room editor mouse grid pick validation	codex	2026-06-26
